CPUE,Steepness,RecProp,Move,DataWts,Natmort,Model,Clatest,Flatest,Fmsy,Frecent,MSY,SB0,SBF0,SBlatest,SBmsy,SBrecent,TBlatest,TBrecent,Flatest_Fmsy,Frecent_Fmsy,SBlatest_SB0,SBlatest_SBF0,SBlatest_SBmsy,SBrecent_SB0,SBrecent_SBF0,SBrecent_SBmsy
NZ,0.7,MoreR2,Diag,Diag,HamelCope,N_h07_R2_Vb_Dbas_Mhac,5927.13,0.0546025,0.162875,0.05502415,10394.7,88848.5,91053.53,45193.5,23499.7,46537.8,115961,115139.75,0.335241749808135,0.337830544896393,0.508657996477149,0.496339900276244,1.92315221045375,0.523788246284405,0.511103743039946,1.98035719604931
NZ,0.7,MoreR2,Diag,Diag,Estimated,N_h07_R2_Vb_Dbas_Mest,5926.86,0.0554368,0.162613,0.055873425,10275.9,88170.1,90364.3,44509.5,23330.3,45826.875,114201,113375.25,0.340912473172502,0.343597529102839,0.504813990230248,0.492556241790176,1.90779801374179,0.519755279851106,0.507134731304287,1.96426428292821
NZ,0.7,MoreR2,Half1to2,05length,HamelCope,N_h07_R2_V1_D05l_Mhac,5907.75,0.0569282,0.162826,0.057439625,10082,86339.3,88390.21,42939.2,22837,44166.55,110860,109931.5,0.349625981108668,0.352766910689939,0.497330879448872,0.485791356305184,1.88024696764023,0.511546306259143,0.499676943860638,1.93399089197355
NZ,0.7,MoreR2,Half1to2,05length,Estimated,N_h07_R2_V1_D05l_Mest,5909.27,0.052494,0.164216,0.052922425,10724.6,89991.9,92093.84,46588.3,23748.3,47959.25,120304,119394.75,0.319664344521849,0.322273255955571,0.517694370271102,0.505878569076933,1.96175305179739,0.532928519122277,0.520765015336531,2.01948139445771
NZ,0.7,MoreR2,Half1to2,05weight,HamelCope,N_h07_R2_V1_D05w_Mhac,5958.03,0.0481843,0.162835,0.048709775,11018.2,94543.3,97127.39,51618,25003,52771.2,131591,130266,0.295908741978076,0.299135781619431,0.545972057247843,0.531446381911426,2.0644722633284,0.558169642904362,0.543319448818711,2.11059472863256
NZ,0.7,MoreR2,Half1to2,05weight,Estimated,N_h07_R2_V1_D05w_Mest,5958.98,0.0437346,0.164388,0.044157125,11904.8,99857.1,102586.54,56871.8,26341.2,58215.65,145058,143769.75,0.266044966785897,0.268615257804706,0.569531861029411,0.55437877132809,2.15904362747331,0.58298959212715,0.5674784430784,2.21006066542147
NZ,0.7,MoreR2,Half1to2,20length,HamelCope,N_h07_R2_V1_D20l_Mhac,5914.2,0.0586314,0.162984,0.0589992,9873.6,84167.2,86424.95,41529.4,22267.3,42703.6,107508,106733,0.359737152113091,0.361993815343837,0.4934154872682,0.480525588964761,1.86503976683298,0.507366289956182,0.494111943368206,1.9177717999039
NZ,0.7,MoreR2,Half1to2,20length,Estimated,N_h07_R2_V1_D20l_Mest,5914.38,0.0581136,0.163145,0.058472825,9939,84525.3,86789.71,41902.2,22356,43091,108475,107702.75,0.356208280977045,0.358410156609151,0.495735596324414,0.482801474967482,1.87431561996779,0.509800024371401,0.496498951315772,1.927491501163
NZ,0.7,MoreR2,Half1to2,20weight,HamelCope,N_h07_R2_V1_D20w_Mhac,5801.17,0.0773563,0.162997,0.0770266,8692.84,74020.1,76115.38,30883.3,19582.1,32333.4,80934.6,81111.375,0.474587262342252,0.472564525727467,0.417228563592862,0.405743228241125,1.57711889940303,0.436819188301556,0.424794568456467,1.65117122269828
NZ,0.7,MoreR2,Half1to2,20weight,Estimated,N_h07_R2_V1_D20w_Mest,5802.35,0.0745471,0.16373,0.0742292,8917.79,75125.7,77213.19,32063,19850.3,33570.375,84029,84216.825,0.45530507542906,0.453363464239907,0.426791364340033,0.415252886197294,1.61524007193846,0.446856069227974,0.434775133626781,1.69117721142754
NZ,0.7,MoreR2,Half1to2,Diag,HamelCope,N_h07_R2_V1_Dbas_Mhac,5909.98,0.0575009,0.162883,0.05796535,10009.4,85579.9,87708.82,42452.6,22637.7,43661.35,109707,108830.5,0.353019652142949,0.355871085380304,0.496058069710294,0.484017456853256,1.87530535345905,0.51018229747873,0.497798853068597,1.92870079557552
NZ,0.7,MoreR2,Half1to2,Diag,Estimated,N_h07_R2_V1_Dbas_Mest,5911.04,0.0544126,0.163848,0.0548215,10435.9,87974.3,90140.61,44877.8,23233.9,46181.875,115989,115127.25,0.332091938870172,0.334587544553489,0.510123979389435,0.497864392086985,1.93156551418402,0.524947342576184,0.512331511845771,1.98769362870633
NZ,0.7,MoreR2,Half2to1,05length,HamelCope,N_h07_R2_V2_D05l_Mhac,5979.65,0.0459253,0.163204,0.04632935,11869.9,101200,103288.83,55295,26755,57071.425,139437,138613.25,0.281398127496875,0.283873863385701,0.546393280632411,0.535343463567164,2.06671650158849,0.563946887351779,0.552542080300455,2.13311250233601
NZ,0.7,MoreR2,Half2to1,05length,Estimated,N_h07_R2_V2_D05l_Mest,5977.37,0.0563903,0.159824,0.0570136,10133.2,90763.5,92674.55,45019.4,24129.1,46385.25,113399,112509,0.352827485233757,0.356727400140154,0.49600775642191,0.485779537100531,1.86577203459723,0.511056206514733,0.500517671787994,1.92237795856455
NZ,0.7,MoreR2,Half2to1,05weight,HamelCope,N_h07_R2_V2_D05w_Mhac,6027.69,0.0383856,0.163201,0.038766975,13193.5,112716,115550.74,67200.8,29796.1,68978.725,167539,166349,0.235204441149258,0.237541283448018,0.596195748607119,0.581569620410912,2.25535556666812,0.611969241278967,0.596956151038063,2.31502528854447
NZ,0.7,MoreR2,Half2to1,05weight,Estimated,N_h07_R2_V2_D05w_Mest,6027.52,0.044795,0.160873,0.0453311,11634.5,102824,105372.22,57621.1,27283.6,59042.425,143477,142204.25,0.278449460133149,0.281781902494514,0.560385707616899,0.546833880884354,2.11193170989166,0.574208599159729,0.560322492968261,2.1640261915583
NZ,0.7,MoreR2,Half2to1,20length,HamelCope,N_h07_R2_V2_D20l_Mhac,5987.78,0.0472538,0.163362,0.0475488,11603.4,98492.9,100868.19,53572.8,26044.3,55272.5,135384,134727.75,0.289258211824047,0.291064017335733,0.543925501229023,0.531116896218719,2.05698751742224,0.561182582703931,0.547967600092755,2.12224939814086
NZ,0.7,MoreR2,Half2to1,20length,Estimated,N_h07_R2_V2_D20l_Mest,5984.79,0.0606529,0.159064,0.061202125,9605.37,86802.8,88917.12,41705.9,23115,42933.975,105268,104502.25,0.38131129608208,0.384764151536488,0.48046721995143,0.469042407131495,1.80427860696517,0.494615093061514,0.482853864362679,1.85740752757949
NZ,0.7,MoreR2,Half2to1,20weight,HamelCope,N_h07_R2_V2_D20w_Mhac,5879.87,0.0632399,0.16338,0.06311005,9988.62,84682.9,86731.76,39378.8,22390.9,41290.05,100560,100865.25,0.387072469090464,0.386277696168442,0.465014778662516,0.454029757957177,1.75869661335632,0.487584270259994,0.476066091590901,1.84405495089523
NZ,0.7,MoreR2,Half2to1,20weight,Estimated,N_h07_R2_V2_D20w_Mest,5872.23,0.081913,0.158454,0.0817701,8354.35,76101.2,78154.23,30323.2,20286.1,31804.9,77369.4,77593.75,0.516951291857574,0.516049452838048,0.39845889420929,0.387991795197778,1.49477721198259,0.417929020830158,0.406950461926373,1.56781737248658
NZ,0.7,MoreR2,Half2to1,Diag,HamelCope,N_h07_R2_V2_Dbas_Mhac,5982.48,0.0463691,0.163261,0.0467375,11777.5,100258,102453.93,54704.5,26507.7,56454.05,138053,137285.5,0.284018228480776,0.286274737996215,0.54563725587983,0.533942426610673,2.0637211074518,0.56308773364719,0.55101888234058,2.12972268435209
NZ,0.7,MoreR2,Half2to1,Diag,Estimated,N_h07_R2_V2_Dbas_Mest,5979.94,0.0578258,0.159569,0.0584268,9944.93,89341.8,91331.51,43846.5,23764.7,45163.2,110524,109676.75,0.36238743114264,0.366153826871134,0.490772516336138,0.480080751977056,1.84502644678872,0.505510298650799,0.494497463142786,1.90043215357231
NZ,0.8,Diag,Diag,05length,HamelCope,N_h08_Rb_Vb_D05l_Mhac,5950.63,0.0418549,0.204679,0.0420099,14501.3,106767,108902.9,61469.4,23611.9,63502.85,153580,152711,0.204490446015468,0.205247729371357,0.575734075135576,0.564442269214135,2.60332290074073,0.594779754043853,0.583114407421657,2.68944261156451
NZ,0.8,Diag,Diag,05length,Estimated,N_h08_Rb_Vb_D05l_Mest,5930.32,0.0599312,0.197578,0.0603412,10867.1,86743.7,88662.77,42645.1,19439.3,43905.925,106777,105767.5,0.303329318041482,0.305404447863629,0.491621869945598,0.480980912281446,2.19375697684587,0.506156931281465,0.495201368060123,2.25861656541131
NZ,0.8,Diag,Diag,05weight,HamelCope,N_h08_Rb_Vb_D05w_Mhac,6005.38,0.0346717,0.204776,0.0348293,16320.7,120348,123390.94,75414.5,26610.8,77530.375,186256,185103.5,0.169315251787319,0.170084873227331,0.626636919599827,0.611183446693898,2.83398094006945,0.644218225479443,0.628331180555072,2.91349282997881
NZ,0.8,Diag,Diag,05weight,Estimated,N_h08_Rb_Vb_D05w_Mest,5991.99,0.0489219,0.198518,0.049330925,12223.4,96786.4,99244.48,53249.1,21648.3,54521.525,131593,130234.75,0.246435587704893,0.248495980213381,0.550171305059388,0.536544702536605,2.45973586840537,0.563318038484746,0.549365818632936,2.51851300102087
NZ,0.8,Diag,Diag,20length,HamelCope,N_h08_Rb_Vb_D20l_Mhac,5955.11,0.0438327,0.204836,0.043885525,13983,102484,104842.24,58390.8,22675.1,60305.5,146395,145708,0.213989240172626,0.214247129410846,0.5697552788728,0.556939645700054,2.57510661474481,0.588438195230475,0.575202323033159,2.65954725668244
NZ,0.8,Diag,Diag,20length,Estimated,N_h08_Rb_Vb_D20l_Mest,5929.52,0.0668239,0.195864,0.067153575,10033.1,81442,83493.22,37965.2,18324,39040,95467.3,94569.3,0.341174998978883,0.342858182208063,0.466162422337369,0.45470997525308,2.07188386815106,0.479359544215515,0.467582876789277,2.13053918358437
NZ,0.8,Diag,Diag,20weight,HamelCope,N_h08_Rb_Vb_D20w_Mhac,5840.09,0.0583521,0.204748,0.058036875,11950.8,87549.4,89417.86,43085.5,19370.9,45114.35,109270,109373.75,0.284994725223201,0.283455149745052,0.492127872949443,0.481844454787891,2.2242384194849,0.515301646841669,0.504533993544466,2.32897542189573
NZ,0.8,Diag,Diag,20weight,Estimated,N_h08_Rb_Vb_D20w_Mest,5812.48,0.0829027,0.196394,0.08248515,9195.52,74084.2,76074.61,30034.4,16652.3,31402.65,76413.5,76337.525,0.422124402985835,0.419998319704268,0.405408980592353,0.394801892510524,1.80361871933607,0.423877830900516,0.412787525299177,1.88578454627889
NZ,0.8,Diag,Diag,Diag,HamelCope,N_h08_Rb_Vb_Dbas_Mhac,5952.24,0.0425167,0.204735,0.0426387,14320.7,105270,107491.9,60402.6,23284.5,62394.475,151097,150289.75,0.207666984150243,0.208262876401202,0.573787403818752,0.561926991708212,2.59411196289377,0.592708986415883,0.580457457724722,2.67965706800661
NZ,0.8,Diag,Diag,Diag,Estimated,N_h08_Rb_Vb_Dbas_Mest,5929.94,0.0623502,0.196967,0.0627387,10551.2,84730.4,86702,40883.8,19014.9,42074.45,102522,101550.55,0.316551503551356,0.318523915173608,0.482516310556778,0.471543909021707,2.1500928219449,0.496568527942745,0.485276579548338,2.21270950675523
